member_id,churn,churn_label,churn_risk_score,risk_level_ml,recommended_retention_action,membership_type,subscription_model,discount_type,visit_per_week,duration_in_gym_minutes,membership_tenure_days,days_since_last_visit,engagement_score,home_gym_location
MB01228,1,Churn,92.43478837838892,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,5,158,1078,60,86.94444444444444,"Anaheim, CA"
MB00419,1,Churn,92.43478837838892,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,5,158,747,41,86.94444444444444,"Anaheim, CA"
MB01835,1,Churn,92.43478837838892,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,5,158,730,40,86.94444444444444,"Anaheim, CA"
MB01673,1,Churn,92.43478837838892,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,5,158,889,49,86.94444444444444,"Anaheim, CA"
MB01451,1,Churn,92.14646752684746,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,689,38,73.80555555555556,"San Diego, CA"
MB00786,1,Churn,91.63136761498714,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,5,176,652,36,99.44444444444444,"Sacramento, CA"
MB00368,1,Churn,91.63136761498714,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,5,176,995,55,99.44444444444444,"Sacramento, CA"
MB01463,1,Churn,91.55912323895102,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,2,132,731,40,46.33333333333333,"San Francisco, CA"
MB01176,1,Churn,91.49867792316708,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Early Bird (Annual),Loyalty,3,115,861,47,72.97222222222223,"Anaheim, CA"
MB00093,1,Churn,91.45121636335611,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Early Bird (Annual),Student,3,84,841,46,53.666666666666664,"Sacramento, CA"
MB00795,1,Churn,91.16810118834537,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Early Bird (Annual),No Discount,3,103,959,53,66.30555555555556,"Long Beach, CA"
MB00290,1,Churn,91.16810118834537,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Early Bird (Annual),No Discount,3,103,660,36,66.30555555555556,"Long Beach, CA"
MB01242,1,Churn,91.03537026109181,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,852,47,73.80555555555556,"San Diego, CA"
MB01517,1,Churn,91.00014704588034,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Early Bird (Annual),Loyalty,3,115,987,54,72.97222222222223,"Anaheim, CA"
MB00482,1,Churn,90.93191149494842,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Elite,Monthly,No Discount,1,158,771,42,35.94444444444444,"Oakland, CA"
MB01384,1,Churn,90.9314855778765,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Basic,Quarterly,Loyalty,2,42,730,40,43.83333333333333,"Los Angeles, CA"
MB01861,1,Churn,90.83125156999864,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Basic,Quarterly,Loyalty,5,41,729,40,70.69444444444444,"Bakersfield, CA"
MB00584,1,Churn,90.72452327455326,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Standard,Monthly,No Discount,5,113,705,39,65.69444444444444,"Los Angeles, CA"
MB01214,1,Churn,90.61913353016192,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Elite,Monthly,No Discount,1,139,769,42,53.30555555555556,"Long Beach, CA"
MB01521,1,Churn,90.47403438864637,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,1026,57,89.05555555555556,"Long Beach, CA"
MB01427,1,Churn,90.41970771851237,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Standard,Monthly,No Discount,5,113,1044,58,65.69444444444444,"Los Angeles, CA"
MB00486,1,Churn,90.41970771851237,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Standard,Monthly,No Discount,5,113,990,55,65.69444444444444,"Los Angeles, CA"
MB00113,1,Churn,90.32783101132,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,2,121,1021,56,44.80555555555556,"Los Angeles, CA"
MB00675,1,Churn,90.28650925593857,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Standard,Early Bird (Annual),Promo,1,178,1077,59,53.72222222222222,"Los Angeles, CA"
MB01419,1,Churn,90.28650925593857,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Standard,Early Bird (Annual),Promo,1,178,1025,57,53.72222222222222,"Los Angeles, CA"
MB01923,1,Churn,90.1639148570106,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Promo,2,161,876,48,70.36111111111111,"Los Angeles, CA"
MB00337,1,Churn,90.13955084051837,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,5,128,942,52,92.77777777777777,"Fresno, CA"
MB01429,1,Churn,90.08687398100305,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,5,168,955,53,88.33333333333333,"Long Beach, CA"
MB00288,1,Churn,90.07403438864637,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,608,33,89.05555555555556,"Long Beach, CA"
MB01185,1,Churn,90.01280490315963,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,33,1029,57,61.58333333333333,"San Francisco, CA"
MB00679,1,Churn,89.90774952569085,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,No Discount,5,149,952,52,75.69444444444444,"Anaheim, CA"
MB01616,1,Churn,89.89444107570473,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,66,1089,60,66.16666666666666,"San Diego, CA"
MB01062,1,Churn,89.77806299355747,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Early Bird (Annual),Loyalty,3,115,849,47,72.97222222222223,"Anaheim, CA"
MB00365,1,Churn,89.76791210374914,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,Promo,3,143,1033,57,56.861111111111114,"Fresno, CA"
MB01500,1,Churn,89.76091541915984,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,No Discount,5,149,583,32,75.69444444444444,"Anaheim, CA"
MB00566,1,Churn,89.74633048388905,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Early Bird (Annual),No Discount,2,117,659,36,44.25,"Sacramento, CA"
MB00851,1,Churn,89.7226251665097,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,2,57,829,45,40.916666666666664,"Los Angeles, CA"
MB01154,1,Churn,89.6949171189251,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Elite,Early Bird (Annual),No Discount,1,109,689,38,54.138888888888886,"San Jose, CA"
MB01586,1,Churn,89.59149491375001,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Elite,Early Bird (Annual),No Discount,1,109,771,42,54.138888888888886,"San Jose, CA"
MB00397,1,Churn,89.58547367111444,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Loyalty,3,54,945,52,64.5,"San Jose, CA"
MB00193,1,Churn,89.5699331145566,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,4,61,989,55,59.47222222222222,"San Diego, CA"
MB00268,1,Churn,89.45488682983309,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Loyalty,2,37,779,43,53.138888888888886,"Bakersfield, CA"
MB00862,1,Churn,89.30438991326419,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Standard,Monthly,No Discount,5,173,589,32,84.02777777777777,"Sacramento, CA"
MB00947,1,Churn,89.2945506651909,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Basic,Quarterly,Loyalty,2,42,989,55,43.83333333333333,"Los Angeles, CA"
MB00763,1,Churn,89.2132057931185,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Basic,Early Bird (Annual),Student,1,177,823,45,38.58333333333333,"San Francisco, CA"
MB01230,1,Churn,89.17643209556879,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,4,141,983,54,70.58333333333333,"Fresno, CA"
MB01686,1,Churn,89.16504563507954,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,4,61,1013,56,59.47222222222222,"San Diego, CA"
MB01406,1,Churn,89.15313913604888,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Elite,Early Bird (Annual),No Discount,1,122,930,51,40.94444444444444,"Los Angeles, CA"
MB00843,1,Churn,89.12765617580965,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,No Discount,5,149,1054,58,75.69444444444444,"Anaheim, CA"
MB00219,1,Churn,89.11771714508251,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Early Bird (Annual),Promo,4,63,722,39,74.75,"Bakersfield, CA"
MB01350,1,Churn,89.05486496475532,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Premium,Early Bird (Annual),No Discount,1,30,954,53,43.166666666666664,"Long Beach, CA"
MB00068,1,Churn,89.02343597110959,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Early Bird (Annual),Promo,4,63,885,49,74.75,"Bakersfield, CA"
MB00937,1,Churn,88.97426734642953,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Premium,Monthly,No Discount,1,55,1004,55,21.63888888888889,"San Francisco, CA"
MB01934,1,Churn,88.97426734642953,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Premium,Monthly,No Discount,1,55,888,49,21.63888888888889,"San Francisco, CA"
MB01633,1,Churn,88.89050991733696,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,66,878,48,66.16666666666666,"San Diego, CA"
MB01660,1,Churn,88.81320579311851,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Basic,Early Bird (Annual),Student,1,177,670,37,38.58333333333333,"San Francisco, CA"
MB01108,1,Churn,88.80581184395807,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,772,42,89.05555555555556,"Long Beach, CA"
MB01205,1,Churn,88.74109069952159,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,No Discount,2,73,851,47,43.138888888888886,"Sacramento, CA"
MB00465,1,Churn,88.73703450642012,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Monthly,No Discount,2,176,1055,58,72.44444444444444,"San Jose, CA"
MB01107,1,Churn,88.7099215501788,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,838,46,89.05555555555556,"Long Beach, CA"
MB01724,1,Churn,88.7099215501788,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,768,42,89.05555555555556,"Long Beach, CA"
MB01766,1,Churn,88.7099215501788,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,4,166,816,45,89.05555555555556,"Long Beach, CA"
MB01180,1,Churn,88.7064781644842,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Early Bird (Annual),Promo,4,148,1056,58,86.55555555555556,"Los Angeles, CA"
MB00468,1,Churn,88.70000506337342,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Monthly,Loyalty,4,102,956,53,75.16666666666666,"San Diego, CA"
MB01875,1,Churn,88.69925176418518,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,3,134,608,33,65.61111111111111,"Oakland, CA"
MB00241,1,Churn,88.6949129427389,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,No Discount,2,107,1032,57,57.861111111111114,"San Jose, CA"
MB00140,1,Churn,88.67562896768482,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Standard,Early Bird (Annual),Promo,1,88,1065,59,36.22222222222222,"Los Angeles, CA"
MB01888,1,Churn,88.6729283213549,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,2,57,804,44,40.916666666666664,"Los Angeles, CA"
MB00121,1,Churn,88.66992522894522,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Early Bird (Annual),No Discount,2,37,890,49,33.138888888888886,"Fresno, CA"
MB00872,1,Churn,88.65486496475532,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Premium,Early Bird (Annual),No Discount,1,30,716,39,43.166666666666664,"Long Beach, CA"
MB01610,1,Churn,88.6477269384365,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,Promo,3,143,968,53,56.861111111111114,"Fresno, CA"
MB01936,1,Churn,88.62954816264025,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,Promo,2,118,909,50,44.388888888888886,"Los Angeles, CA"
MB01539,1,Churn,88.5928176246392,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Monthly,Loyalty,4,102,590,32,75.16666666666666,"San Diego, CA"
MB00614,1,Churn,88.58609527726662,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Promo,5,128,961,53,92.77777777777777,"Anaheim, CA"
MB01355,1,Churn,88.55661421953927,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Basic,Early Bird (Annual),Student,1,177,961,53,38.58333333333333,"San Francisco, CA"
MB01002,1,Churn,88.55661421953927,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Basic,Early Bird (Annual),Student,1,177,960,53,38.58333333333333,"San Francisco, CA"
MB01003,1,Churn,88.55123243419672,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Elite,Quarterly,Student,2,39,810,44,23.416666666666668,"San Francisco, CA"
MB01783,1,Churn,88.54288752112285,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Basic,Early Bird (Annual),No Discount,1,117,709,39,50.25,"Fresno, CA"
MB00454,1,Churn,88.52980790285139,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Loyalty,5,136,996,55,93.88888888888889,"Fresno, CA"
MB00464,1,Churn,88.51370587071432,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Early Bird (Annual),No Discount,2,165,652,36,55.916666666666664,"San Diego, CA"
MB01217,1,Churn,88.46872139625994,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Standard,Monthly,Student,3,93,755,41,54.91666666666667,"Los Angeles, CA"
MB01146,1,Churn,88.44009379751809,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,66,880,48,66.16666666666666,"San Diego, CA"
MB00277,1,Churn,88.4372757810509,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Standard,Early Bird (Annual),Promo,1,178,881,48,53.72222222222222,"Los Angeles, CA"
MB01779,1,Churn,88.4372757810509,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Standard,Early Bird (Annual),Promo,1,178,926,51,53.72222222222222,"Los Angeles, CA"
MB00731,1,Churn,88.43125085642049,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Premium,Monthly,Student,1,131,898,49,52.19444444444444,"Los Angeles, CA"
MB00755,1,Churn,88.4114163223683,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Standard,Monthly,Promo,1,38,876,48,24.27777777777778,"Long Beach, CA"
MB01270,1,Churn,88.40872393809794,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Basic,Early Bird (Annual),No Discount,1,34,771,42,28.72222222222222,"Fresno, CA"
MB01388,1,Churn,88.40872393809794,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Offer trial PT session,Basic,Early Bird (Annual),No Discount,1,34,1063,59,28.72222222222222,"Fresno, CA"
MB01594,1,Churn,88.40394858624903,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Standard,Quarterly,No Discount,5,180,802,44,85.0,"Anaheim, CA"
MB01315,1,Churn,88.3916387346013,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Basic,Monthly,Promo,3,37,716,39,32.138888888888886,"Sacramento, CA"
MB00256,1,Churn,88.3916387346013,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Basic,Monthly,Promo,3,37,623,34,32.138888888888886,"Sacramento, CA"
MB01708,1,Churn,88.37226298109894,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Early Bird (Annual),Promo,4,148,690,38,86.55555555555556,"Los Angeles, CA"
MB00082,1,Churn,88.34972960223702,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Elite,Monthly,No Discount,1,139,694,38,53.30555555555556,"Long Beach, CA"
MB00575,1,Churn,88.33232522391718,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Quarterly,No Discount,2,180,1042,57,68.0,"Fresno, CA"
MB00265,1,Churn,88.32375352921558,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Quarterly,No Discount,5,81,965,53,81.25,"Fresno, CA"
MB00504,1,Churn,88.30967680156672,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Monthly,Loyalty,3,84,897,49,53.666666666666664,"Anaheim, CA"
MB00266,1,Churn,88.29830041769223,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Early Bird (Annual),Loyalty,3,39,819,45,47.416666666666664,"Fresno, CA"
MB00352,1,Churn,88.25836408266284,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Elite,Monthly,No Discount,3,136,943,52,45.888888888888886,"Anaheim, CA"
MB00811,1,Churn,88.25836408266284,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Elite,Monthly,No Discount,3,136,924,51,45.888888888888886,"Anaheim, CA"
MB01787,1,Churn,88.24270744397178,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Quarterly,No Discount,5,81,684,37,81.25,"Fresno, CA"
MB01439,1,Churn,88.24054901254766,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Promo,2,122,748,41,64.94444444444444,"Anaheim, CA"
MB01568,1,Churn,88.23786372492258,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Early Bird (Annual),No Discount,2,165,695,38,55.916666666666664,"San Diego, CA"
MB01641,1,Churn,88.21864687729285,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Premium,Monthly,No Discount,1,100,927,51,37.888888888888886,"Sacramento, CA"
MB00259,1,Churn,88.2056733090967,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Monthly,Loyalty,3,84,638,35,53.666666666666664,"Anaheim, CA"
MB00155,1,Churn,88.17848119656912,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Monthly,Student,3,136,1080,60,75.88888888888889,"Oakland, CA"
MB01902,1,Churn,88.17640197279442,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Premium,Early Bird (Annual),Student,4,34,841,46,40.72222222222222,"Oakland, CA"
MB01537,1,Churn,88.17640197279442,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Premium,Early Bird (Annual),Student,4,34,756,41,40.72222222222222,"Oakland, CA"
MB01120,1,Churn,88.15443054223621,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Monthly,No Discount,2,176,977,54,72.44444444444444,"San Jose, CA"
MB00183,1,Churn,88.10477325529739,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,4,57,1015,56,58.916666666666664,"Fresno, CA"
MB01689,1,Churn,88.09361107849331,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Standard,Monthly,Promo,1,38,845,46,24.27777777777778,"Long Beach, CA"
MB00201,1,Churn,88.06486808224685,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Quarterly,Loyalty,3,53,714,39,64.36111111111111,"Los Angeles, CA"
MB00571,1,Churn,88.06486808224685,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Quarterly,Loyalty,3,53,865,48,64.36111111111111,"Los Angeles, CA"
MB01125,1,Churn,88.06145340464437,Critical Risk,Early-warning call/SMS; Win-back voucher,Standard,Monthly,Student,3,98,617,34,70.61111111111111,"Sacramento, CA"
MB01280,1,Churn,88.0295733705114,Critical Risk,Early-warning call/SMS; Win-back voucher,Basic,Early Bird (Annual),Loyalty,3,89,689,38,64.36111111111111,"San Francisco, CA"
MB01531,1,Churn,88.01141632236829,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Standard,Monthly,Promo,1,38,681,37,24.27777777777778,"Long Beach, CA"
MB01859,1,Churn,88.00934600802815,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,3,100,806,44,70.88888888888889,"Sacramento, CA"
MB01382,1,Churn,87.96971947495047,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Standard,Monthly,Student,2,176,1063,59,57.44444444444444,"Fresno, CA"
MB00959,1,Churn,87.95572148032447,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,Student,2,154,817,45,54.388888888888886,"San Francisco, CA"
MB00248,1,Churn,87.94266184111822,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Basic,Early Bird (Annual),Student,2,164,1060,58,40.77777777777778,"Sacramento, CA"
MB00757,1,Churn,87.92327337662205,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,3,100,599,33,70.88888888888889,"Sacramento, CA"
MB00789,1,Churn,87.91187717554101,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Premium,Monthly,No Discount,5,149,1039,57,75.69444444444444,"Anaheim, CA"
MB00130,1,Churn,87.8930999635485,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Premium,Monthly,No Discount,1,84,574,31,50.666666666666664,"Bakersfield, CA"
MB00257,1,Churn,87.88372172339517,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),Student,5,51,1028,57,82.08333333333334,"Long Beach, CA"
MB00275,1,Churn,87.87654055300729,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Basic,Early Bird (Annual),No Discount,5,58,575,31,73.05555555555556,"Sacramento, CA"
MB00188,1,Churn,87.86804950397566,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Monthly,Student,5,128,622,34,92.77777777777777,"Fresno, CA"
MB00116,1,Churn,87.86563304179904,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Monthly,Loyalty,3,84,959,53,53.666666666666664,"Anaheim, CA"
MB00021,1,Churn,87.86290302273687,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Win-back voucher,Premium,Early Bird (Annual),No Discount,1,30,682,37,43.166666666666664,"Long Beach, CA"
MB01572,1,Churn,87.85011209738217,Critical Risk,Early-warning call/SMS; Personalized visit reminder; Invite to free group lesson,Basic,Early Bird (Annual),No Discount,1,39,815,45,29.416666666666668,"Los Angeles, CA"
MB01415,1,Churn,87.83386495605941,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Basic,Early Bird (Annual),No Discount,5,159,1028,57,82.08333333333333,"Sacramento, CA"
MB00986,1,Churn,87.79439768797091,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Basic,Early Bird (Annual),No Discount,3,114,764,42,62.83333333333333,"Los Angeles, CA"
MB01550,1,Churn,87.77646637610178,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Standard,Monthly,Student,3,93,1044,58,54.91666666666667,"Los Angeles, CA"
MB01801,1,Churn,87.76524281202813,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Standard,Early Bird (Annual),No Discount,2,88,816,45,40.22222222222222,"Fresno, CA"
MB00347,1,Churn,87.75697053940105,Critical Risk,Early-warning call/SMS; Win-back voucher,Premium,Early Bird (Annual),No Discount,5,67,707,39,84.30555555555556,"Oakland, CA"
MB00306,1,Churn,87.75461996257074,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Standard,Monthly,Promo,2,91,1070,59,50.638888888888886,"San Francisco, CA"
MB00497,1,Churn,87.75123243419671,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Offer trial PT session,Elite,Quarterly,Student,2,39,652,36,23.416666666666668,"San Francisco, CA"
