member_id,age,self_identified_gender,join_date,membership_tenure_days,risk_level,churn,churn_label,engagement_score,engagement_level
MB00056,24,Female,2022-10-15,1012,High Risk,1,Churn,26.666666666666668,Low Engagement
MB00057,41,Male,2025-03-20,125,Active,0,Retained,28.000000000000004,Low Engagement
MB00058,29,Male,2024-11-26,239,Active,0,Retained,40.916666666666664,Medium Engagement
MB00059,17,Male,2025-05-05,79,Active,0,Retained,39.50000000000001,Medium Engagement
MB00060,19,Male,2024-07-11,377,Low Risk,0,Retained,45.58333333333333,Medium Engagement
MB00061,16,Male,2024-05-05,444,Low Risk,0,Retained,45.833333333333336,Medium Engagement
MB00062,18,Prefer not to say,2024-09-07,319,Low Risk,0,Retained,55.41666666666667,Medium Engagement
MB00063,38,Male,2023-01-22,913,High Risk,1,Churn,35.16666666666667,Medium Engagement
MB00064,36,Other (self-described),2024-06-08,410,Low Risk,0,Retained,21.333333333333336,Low Engagement
MB00065,48,Male,2024-08-27,330,Low Risk,0,Retained,42.833333333333336,Medium Engagement
MB00066,14,Male,2023-11-23,608,Medium Risk,1,Churn,26.833333333333332,Low Engagement
MB00067,33,Female,2025-01-23,181,Active,0,Retained,19.333333333333332,Low Engagement
MB00068,43,Male,2023-02-19,885,High Risk,1,Churn,69.25,High Engagement
MB00069,28,Prefer not to say,2025-04-04,110,Active,0,Retained,33.66666666666667,Low Engagement
MB00070,15,Male,2022-08-06,1082,High Risk,1,Churn,51.75000000000001,Medium Engagement
MB00071,19,Male,2023-03-23,853,High Risk,1,Churn,52.16666666666667,Medium Engagement
MB00072,38,Non-binary,2024-11-23,242,Active,0,Retained,46.166666666666664,Medium Engagement
MB00073,42,Prefer not to say,2025-06-17,36,Active,0,Retained,35.583333333333336,Medium Engagement
MB00074,48,Male,2023-02-05,899,High Risk,1,Churn,51.83333333333333,Medium Engagement
MB00075,49,Male,2023-06-01,783,Medium Risk,1,Churn,22.833333333333332,Low Engagement
MB00076,34,Male,2023-05-08,807,Medium Risk,1,Churn,33.416666666666664,Low Engagement
MB00077,14,Male,2023-03-24,852,High Risk,1,Churn,87.16666666666667,High Engagement
MB00078,36,Male,2025-04-05,109,Active,0,Retained,53.91666666666667,Medium Engagement
MB00079,41,Male,2024-06-06,412,Low Risk,0,Retained,35.75,Medium Engagement
MB00080,14,Non-binary,2025-02-19,154,Active,0,Retained,38.416666666666664,Medium Engagement
MB00081,35,Non-binary,2022-12-16,950,High Risk,1,Churn,37.0,Medium Engagement
MB00082,23,Prefer not to say,2023-08-29,694,Medium Risk,1,Churn,43.166666666666664,Medium Engagement
MB00083,20,Female,2024-07-05,383,Low Risk,0,Retained,47.5,Medium Engagement
MB00084,45,Other (self-described),2025-04-16,98,Active,0,Retained,26.833333333333332,Low Engagement
MB00085,14,Female,2024-07-26,362,Low Risk,0,Retained,32.24999999999999,Low Engagement
MB00086,21,Female,2024-07-11,377,Low Risk,0,Retained,36.74999999999999,Medium Engagement
MB00087,19,Male,2023-05-07,808,Medium Risk,1,Churn,59.08333333333333,Medium Engagement
MB00088,24,Male,2023-08-14,709,Medium Risk,1,Churn,49.75000000000001,Medium Engagement
MB00089,13,Male,2022-11-21,975,High Risk,1,Churn,57.91666666666666,Medium Engagement
MB00090,46,Non-binary,2024-02-06,533,Low Risk,0,Retained,46.5,Medium Engagement
MB00091,23,Non-binary,2025-02-15,158,Active,0,Retained,51.083333333333336,Medium Engagement
MB00092,18,Female,2023-05-25,790,Medium Risk,1,Churn,29.416666666666668,Low Engagement
MB00093,19,Non-binary,2023-04-04,841,High Risk,1,Churn,46.5,Medium Engagement
MB00094,41,Non-binary,2023-11-03,628,Medium Risk,1,Churn,57.58333333333333,Medium Engagement
MB00095,45,Female,2023-03-24,852,High Risk,1,Churn,66.25000000000001,High Engagement
MB00096,17,Male,2024-01-14,556,Low Risk,0,Retained,35.083333333333336,Medium Engagement
MB00097,20,Male,2023-12-14,587,Medium Risk,1,Churn,28.416666666666668,Low Engagement
MB00098,41,Female,2024-03-24,486,Low Risk,0,Retained,67.0,High Engagement
MB00099,36,Other (self-described),2025-05-26,58,Active,0,Retained,21.333333333333336,Low Engagement
MB00100,46,Female,2025-02-28,145,Active,0,Retained,68.83333333333333,High Engagement
MB00101,42,Male,2025-05-20,64,Active,0,Retained,59.41666666666667,Medium Engagement
MB00102,22,Non-binary,2023-08-15,708,Medium Risk,1,Churn,57.833333333333336,Medium Engagement
MB00103,20,Male,2024-07-23,365,Low Risk,0,Retained,70.5,High Engagement
MB00104,19,Female,2023-12-29,572,Medium Risk,1,Churn,42.333333333333336,Medium Engagement
MB00105,37,Non-binary,2022-10-30,997,High Risk,1,Churn,35.83333333333334,Medium Engagement
MB00106,41,Non-binary,2024-09-30,296,Low Risk,0,Retained,57.58333333333333,Medium Engagement
MB00107,13,Male,2024-04-11,468,Low Risk,0,Retained,72.83333333333334,High Engagement
MB00108,30,Prefer not to say,2023-04-10,835,High Risk,1,Churn,37.66666666666667,Medium Engagement
MB00109,16,Female,2024-10-22,274,Active,0,Retained,26.916666666666668,Low Engagement
MB00110,24,Female,2025-04-02,112,Active,0,Retained,56.750000000000014,Medium Engagement
MB00111,13,Male,2024-08-18,339,Low Risk,0,Retained,32.833333333333336,Low Engagement
MB00112,17,Female,2025-01-02,202,Active,0,Retained,76.5,High Engagement
MB00113,39,Female,2022-10-06,1021,High Risk,1,Churn,36.416666666666664,Medium Engagement
MB00114,26,Male,2023-02-13,891,High Risk,1,Churn,76.83333333333334,High Engagement
MB00115,31,Male,2023-08-18,705,Medium Risk,1,Churn,35.25,Medium Engagement
MB00116,42,Female,2022-12-07,959,High Risk,1,Churn,46.5,Medium Engagement
MB00117,29,Female,2023-02-18,886,High Risk,1,Churn,70.16666666666667,High Engagement
MB00118,40,Male,2024-12-06,229,Active,0,Retained,47.833333333333336,Medium Engagement
MB00119,27,Male,2022-11-15,981,High Risk,1,Churn,33.416666666666664,Low Engagement
MB00120,24,Female,2023-11-26,605,Medium Risk,1,Churn,51.083333333333336,Medium Engagement
MB00121,23,Non-binary,2023-02-14,890,High Risk,1,Churn,22.416666666666668,Low Engagement
MB00122,28,Male,2022-11-11,985,High Risk,1,Churn,39.49999999999999,Medium Engagement
MB00123,45,Female,2024-07-19,369,Low Risk,0,Retained,64.08333333333334,High Engagement
MB00124,29,Non-binary,2025-02-25,148,Active,0,Retained,34.25,Low Engagement
MB00125,36,Male,2024-10-23,273,Active,0,Retained,52.33333333333334,Medium Engagement
MB00126,20,Male,2024-03-25,485,Low Risk,0,Retained,44.916666666666664,Medium Engagement
MB00127,25,Female,2023-02-02,902,High Risk,1,Churn,40.583333333333336,Medium Engagement
MB00128,12,Non-binary,2022-12-19,947,High Risk,1,Churn,76.66666666666667,High Engagement
MB00129,42,Female,2025-06-15,38,Active,0,Retained,24.333333333333336,Low Engagement
MB00130,26,Other (self-described),2023-12-27,574,Medium Risk,1,Churn,38.99999999999999,Medium Engagement
MB00131,16,Male,2024-04-04,475,Low Risk,0,Retained,45.833333333333336,Medium Engagement
MB00132,21,Male,2024-10-29,267,Active,0,Retained,9.000000000000002,Low Engagement
MB00133,15,Male,2025-02-15,158,Active,0,Retained,51.75000000000001,Medium Engagement
MB00134,47,Female,2024-06-28,390,Low Risk,0,Retained,40.0,Medium Engagement
MB00135,19,Male,2022-09-22,1035,High Risk,1,Churn,21.666666666666668,Low Engagement
MB00136,29,Prefer not to say,2024-07-13,375,Low Risk,0,Retained,65.25000000000001,High Engagement
MB00137,48,Female,2023-12-18,583,Medium Risk,1,Churn,83.83333333333334,High Engagement
MB00138,33,Male,2023-06-05,779,Medium Risk,1,Churn,49.083333333333336,Medium Engagement
MB00139,37,Female,2024-05-31,418,Low Risk,0,Retained,63.0,High Engagement
MB00140,20,Non-binary,2022-08-23,1065,High Risk,1,Churn,24.666666666666664,Low Engagement
MB00141,40,Male,2022-09-01,1056,High Risk,1,Churn,61.00000000000001,High Engagement
MB00142,28,Prefer not to say,2024-09-27,299,Low Risk,0,Retained,33.66666666666667,Low Engagement
MB00143,39,Other (self-described),2024-01-10,560,Low Risk,0,Retained,46.25,Medium Engagement
MB00144,29,Male,2024-08-06,351,Low Risk,0,Retained,40.916666666666664,Medium Engagement
MB00145,35,Female,2024-08-23,334,Low Risk,0,Retained,34.666666666666664,Low Engagement
MB00146,14,Male,2025-05-14,70,Active,0,Retained,22.916666666666668,Low Engagement
MB00147,34,Male,2023-09-12,680,Medium Risk,1,Churn,21.750000000000004,Low Engagement
MB00148,27,Prefer not to say,2024-01-04,566,Medium Risk,1,Churn,48.99999999999999,Medium Engagement
MB00149,14,Male,2025-04-29,85,Active,0,Retained,26.833333333333332,Low Engagement
MB00150,40,Male,2024-08-30,327,Low Risk,0,Retained,12.333333333333334,Low Engagement
MB00151,28,Female,2022-10-29,998,High Risk,1,Churn,45.0,Medium Engagement
MB00152,27,Prefer not to say,2024-10-10,286,Low Risk,0,Retained,9.166666666666666,Low Engagement
MB00153,27,Female,2025-01-19,185,Active,0,Retained,60.583333333333336,High Engagement
MB00154,29,Female,2024-01-18,552,Low Risk,0,Retained,46.166666666666664,Medium Engagement
MB00155,39,Male,2022-08-08,1080,High Risk,1,Churn,70.16666666666667,High Engagement
MB00156,41,Male,2024-10-08,288,Low Risk,0,Retained,11.000000000000002,Low Engagement
MB00157,41,Non-binary,2023-07-08,746,Medium Risk,1,Churn,57.58333333333333,Medium Engagement
MB00158,40,Non-binary,2023-04-03,842,High Risk,1,Churn,49.41666666666667,Medium Engagement
MB00159,33,Female,2024-10-12,284,Low Risk,0,Retained,46.416666666666664,Medium Engagement
MB00160,14,Female,2023-05-09,806,Medium Risk,1,Churn,32.24999999999999,Low Engagement
MB00161,27,Male,2024-05-27,422,Low Risk,0,Retained,47.83333333333333,Medium Engagement
MB00162,47,Male,2023-08-19,704,Medium Risk,1,Churn,49.75,Medium Engagement
MB00163,43,Male,2023-08-18,705,Medium Risk,1,Churn,53.333333333333336,Medium Engagement
MB00164,22,Male,2023-11-30,601,Medium Risk,1,Churn,4.000000000000001,Low Engagement
MB00165,14,Female,2025-03-18,127,Active,0,Retained,37.5,Medium Engagement
MB00166,16,Male,2023-01-15,920,High Risk,1,Churn,59.00000000000001,Medium Engagement
MB00167,40,Other (self-described),2024-07-16,372,Low Risk,0,Retained,53.333333333333336,Medium Engagement
MB00168,23,Female,2024-12-06,229,Active,0,Retained,24.16666666666667,Low Engagement
MB00169,42,Male,2025-05-10,74,Active,0,Retained,37.5,Medium Engagement
MB00170,27,Female,2023-10-02,660,Medium Risk,1,Churn,41.0,Medium Engagement
MB00171,28,Prefer not to say,2023-07-02,752,Medium Risk,1,Churn,37.5,Medium Engagement
MB00172,47,Male,2025-06-05,48,Active,0,Retained,49.75,Medium Engagement
MB00173,41,Female,2023-12-25,576,Medium Risk,1,Churn,59.33333333333333,Medium Engagement
MB00174,49,Male,2024-10-24,272,Active,0,Retained,22.833333333333332,Low Engagement
MB00175,22,Female,2023-08-05,718,Medium Risk,1,Churn,67.66666666666667,High Engagement
MB00176,34,Female,2024-12-19,216,Active,0,Retained,41.333333333333336,Medium Engagement
MB00177,39,Male,2023-06-18,766,Medium Risk,1,Churn,45.41666666666666,Medium Engagement
MB00178,47,Female,2024-05-07,442,Low Risk,0,Retained,32.33333333333333,Low Engagement
MB00179,37,Prefer not to say,2022-09-29,1028,High Risk,1,Churn,12.916666666666664,Low Engagement
MB00180,39,Male,2025-01-27,177,Active,0,Retained,91.16666666666666,High Engagement
MB00181,36,Female,2024-06-24,394,Low Risk,0,Retained,56.16666666666668,Medium Engagement
MB00182,27,Male,2025-02-22,151,Active,0,Retained,1.3333333333333335,Low Engagement
MB00183,45,Female,2022-10-12,1015,High Risk,1,Churn,53.25000000000001,Medium Engagement
MB00184,28,Prefer not to say,2022-12-01,965,High Risk,1,Churn,37.5,Medium Engagement
MB00185,17,Male,2024-09-21,305,Low Risk,0,Retained,18.083333333333336,Low Engagement
MB00186,48,Male,2023-07-21,733,Medium Risk,1,Churn,22.499999999999996,Low Engagement
MB00187,15,Prefer not to say,2023-02-03,901,High Risk,1,Churn,44.5,Medium Engagement
MB00188,28,Male,2023-11-09,622,Medium Risk,1,Churn,91.33333333333333,High Engagement
MB00189,22,Female,2023-12-06,595,Medium Risk,1,Churn,53.5,Medium Engagement
MB00190,18,Female,2024-10-08,288,Low Risk,0,Retained,29.416666666666668,Low Engagement
MB00191,23,Female,2025-03-15,130,Active,0,Retained,41.5,Medium Engagement
MB00192,44,Female,2022-11-10,986,High Risk,1,Churn,76.41666666666667,High Engagement
MB00193,36,Male,2022-11-07,989,High Risk,1,Churn,53.91666666666667,Medium Engagement
MB00194,40,Male,2023-08-18,705,Medium Risk,1,Churn,32.66666666666666,Low Engagement
MB00195,17,Prefer not to say,2024-06-26,392,Low Risk,0,Retained,53.25000000000001,Medium Engagement
MB00196,37,Female,2024-06-16,402,Low Risk,0,Retained,29.333333333333332,Low Engagement
MB00197,26,Female,2023-05-11,804,Medium Risk,1,Churn,40.583333333333336,Medium Engagement
MB00198,28,Non-binary,2022-11-10,986,High Risk,1,Churn,52.5,Medium Engagement
MB00199,48,Male,2022-11-21,975,High Risk,1,Churn,49.75,Medium Engagement
MB00200,29,Non-binary,2023-03-15,861,High Risk,1,Churn,50.25000000000001,Medium Engagement
MB00201,49,Prefer not to say,2023-08-09,714,Medium Risk,1,Churn,56.333333333333336,Medium Engagement
MB00202,30,Female,2025-03-25,120,Active,0,Retained,50.16666666666667,Medium Engagement
MB00203,29,Female,2025-01-01,203,Active,0,Retained,49.583333333333336,Medium Engagement
MB00204,34,Female,2022-11-09,987,High Risk,1,Churn,47.41666666666667,Medium Engagement
MB00205,19,Male,2023-09-16,676,Medium Risk,1,Churn,30.75,Low Engagement
MB00206,39,Male,2025-06-13,40,Active,0,Retained,38.0,Medium Engagement
MB00207,41,Male,2025-03-06,139,Active,0,Retained,11.000000000000002,Low Engagement
MB00208,29,Female,2023-07-17,737,Medium Risk,1,Churn,46.166666666666664,Medium Engagement
MB00209,17,Prefer not to say,2025-06-17,36,Active,0,Retained,26.0,Low Engagement
MB00210,40,Male,2025-01-02,202,Active,0,Retained,48.91666666666667,Medium Engagement
MB00211,31,Prefer not to say,2023-11-16,615,Medium Risk,1,Churn,45.25,Medium Engagement
MB00212,39,Male,2023-06-17,767,Medium Risk,1,Churn,65.33333333333334,High Engagement
MB00213,26,Prefer not to say,2023-07-29,725,Medium Risk,1,Churn,84.75000000000001,High Engagement
MB00214,39,Female,2024-10-27,269,Active,0,Retained,84.83333333333334,High Engagement
MB00215,29,Female,2023-05-26,789,Medium Risk,1,Churn,46.166666666666664,Medium Engagement
MB00216,27,Male,2024-10-13,283,Low Risk,0,Retained,24.916666666666664,Low Engagement
MB00217,32,Female,2024-07-11,377,Low Risk,0,Retained,54.333333333333336,Medium Engagement
MB00218,35,Non-binary,2023-04-19,826,Medium Risk,1,Churn,37.0,Medium Engagement
MB00219,43,Male,2023-08-01,722,Medium Risk,1,Churn,69.25,High Engagement
MB00220,24,Female,2022-12-31,935,High Risk,1,Churn,44.166666666666664,Medium Engagement
MB00221,22,Male,2023-07-23,731,Medium Risk,1,Churn,75.50000000000001,High Engagement
MB00222,23,Female,2023-10-26,636,Medium Risk,1,Churn,49.25000000000001,Medium Engagement
MB00223,17,Male,2025-03-15,130,Active,0,Retained,46.16666666666667,Medium Engagement
MB00224,19,Non-binary,2024-05-27,422,Low Risk,0,Retained,54.833333333333336,Medium Engagement
MB00225,24,Female,2024-09-13,313,Low Risk,0,Retained,33.24999999999999,Low Engagement
MB00226,27,Other (self-described),2024-10-06,290,Low Risk,0,Retained,39.24999999999999,Medium Engagement
MB00227,22,Male,2022-08-21,1067,High Risk,1,Churn,77.83333333333333,High Engagement
MB00228,14,Female,2024-04-30,449,Low Risk,0,Retained,35.41666666666667,Medium Engagement
MB00229,47,Male,2022-11-15,981,High Risk,1,Churn,3.333333333333334,Low Engagement
MB00230,26,Non-binary,2023-08-20,703,Medium Risk,1,Churn,54.833333333333336,Medium Engagement
MB00231,36,Non-binary,2023-02-27,877,High Risk,1,Churn,18.166666666666664,Low Engagement
MB00232,30,Non-binary,2024-01-04,566,Medium Risk,1,Churn,70.75,High Engagement
MB00233,12,Non-binary,2023-10-17,645,Medium Risk,1,Churn,16.833333333333332,Low Engagement
MB00234,49,Male,2024-01-15,555,Low Risk,0,Retained,39.49999999999999,Medium Engagement
MB00235,47,Non-binary,2024-11-27,238,Active,0,Retained,25.666666666666664,Low Engagement
MB00236,26,Non-binary,2023-05-15,800,Medium Risk,1,Churn,51.16666666666667,Medium Engagement
MB00237,35,Prefer not to say,2024-08-27,330,Low Risk,0,Retained,38.416666666666664,Medium Engagement
MB00238,41,Male,2025-05-28,56,Active,0,Retained,46.0,Medium Engagement
MB00239,26,Male,2023-08-05,718,Medium Risk,1,Churn,63.166666666666686,High Engagement
MB00240,30,Non-binary,2024-12-16,219,Active,0,Retained,59.333333333333336,Medium Engagement
MB00241,33,Male,2022-09-25,1032,High Risk,1,Churn,49.083333333333336,Medium Engagement
MB00242,36,Non-binary,2022-09-11,1046,High Risk,1,Churn,63.0,High Engagement
MB00243,45,Male,2022-10-22,1005,High Risk,1,Churn,43.33333333333333,Medium Engagement
MB00244,28,Male,2024-05-24,425,Low Risk,0,Retained,39.49999999999999,Medium Engagement
MB00245,35,Female,2025-06-06,47,Active,0,Retained,1.6666666666666663,Low Engagement
MB00246,25,Female,2022-10-08,1019,High Risk,1,Churn,40.583333333333336,Medium Engagement
MB00247,41,Male,2024-03-23,487,Low Risk,0,Retained,72.83333333333334,High Engagement
MB00248,18,Non-binary,2022-08-28,1060,High Risk,1,Churn,33.583333333333336,Low Engagement
MB00249,48,Male,2022-08-31,1057,High Risk,1,Churn,41.33333333333333,Medium Engagement
MB00250,40,Male,2022-12-27,939,High Risk,1,Churn,68.16666666666667,High Engagement
MB00251,40,Male,2024-08-13,344,Low Risk,0,Retained,43.583333333333336,Medium Engagement
MB00252,13,Female,2024-05-08,441,Low Risk,0,Retained,45.333333333333336,Medium Engagement
MB00253,27,Male,2022-12-29,937,High Risk,1,Churn,64.75000000000001,High Engagement
MB00254,48,Male,2024-07-20,368,Low Risk,0,Retained,41.33333333333333,Medium Engagement
MB00255,39,Female,2024-12-24,211,Active,0,Retained,65.91666666666667,High Engagement
MB00256,37,Non-binary,2023-11-08,623,Medium Risk,1,Churn,23.666666666666668,Low Engagement
MB00257,26,Female,2022-09-29,1028,High Risk,1,Churn,78.5,High Engagement
MB00258,48,Male,2023-06-12,772,Medium Risk,1,Churn,48.50000000000001,Medium Engagement
MB00259,42,Female,2023-10-24,638,Medium Risk,1,Churn,46.5,Medium Engagement
MB00260,16,Non-binary,2025-03-11,134,Active,0,Retained,62.0,High Engagement
MB00261,29,Female,2023-09-07,685,Medium Risk,1,Churn,23.166666666666668,Low Engagement
MB00262,22,Female,2022-08-03,1085,High Risk,1,Churn,42.0,Medium Engagement
MB00263,43,Other (self-described),2025-01-24,180,Active,0,Retained,75.16666666666667,High Engagement
MB00264,13,Female,2023-12-18,583,Medium Risk,1,Churn,30.58333333333333,Low Engagement
MB00265,22,Female,2022-12-01,965,High Risk,1,Churn,78.5,High Engagement
MB00266,43,Female,2023-04-26,819,Medium Risk,1,Churn,38.99999999999999,Medium Engagement
MB00267,20,Female,2023-06-11,773,Medium Risk,1,Churn,24.666666666666664,Low Engagement
MB00268,25,Male,2023-06-05,779,Medium Risk,1,Churn,42.416666666666664,Medium Engagement
MB00269,34,Male,2024-06-05,413,Low Risk,0,Retained,40.416666666666664,Medium Engagement
MB00270,46,Female,2024-08-14,343,Low Risk,0,Retained,68.83333333333333,High Engagement
MB00271,48,Female,2023-02-12,892,High Risk,1,Churn,70.33333333333334,High Engagement
MB00272,28,Male,2023-02-11,893,High Risk,1,Churn,40.08333333333333,Medium Engagement
MB00273,20,Male,2022-12-12,954,High Risk,1,Churn,70.5,High Engagement
MB00274,20,Male,2022-10-24,1003,High Risk,1,Churn,44.916666666666664,Medium Engagement
MB00275,39,Male,2023-12-26,575,Medium Risk,1,Churn,69.66666666666667,High Engagement
MB00276,22,Prefer not to say,2024-01-05,565,Medium Risk,1,Churn,34.333333333333336,Low Engagement
MB00277,27,Male,2023-02-23,881,High Risk,1,Churn,44.66666666666667,Medium Engagement
MB00278,42,Female,2023-07-31,723,Medium Risk,1,Churn,72.50000000000001,High Engagement
MB00279,27,Female,2023-06-06,778,Medium Risk,1,Churn,15.166666666666668,Low Engagement
MB00280,19,Male,2023-02-26,878,High Risk,1,Churn,54.833333333333336,Medium Engagement
MB00281,35,Female,2022-11-18,978,High Risk,1,Churn,32.25,Low Engagement
MB00282,20,Female,2024-06-28,390,Low Risk,0,Retained,28.666666666666668,Low Engagement
MB00283,20,Male,2024-05-19,430,Low Risk,0,Retained,54.41666666666667,Medium Engagement
MB00284,45,Non-binary,2025-03-14,131,Active,0,Retained,39.5,Medium Engagement
MB00285,42,Male,2023-10-16,646,Medium Risk,1,Churn,63.83333333333333,High Engagement
MB00286,31,Female,2025-05-15,69,Active,0,Retained,52.583333333333336,Medium Engagement
MB00287,48,Female,2024-02-13,526,Low Risk,0,Retained,18.16666666666667,Low Engagement
MB00288,28,Male,2023-11-23,608,Medium Risk,1,Churn,86.41666666666667,High Engagement
MB00289,16,Male,2024-08-21,336,Low Risk,0,Retained,69.5,High Engagement
MB00290,43,Female,2023-10-02,660,Medium Risk,1,Churn,59.66666666666667,Medium Engagement
MB00291,43,Female,2025-05-21,63,Active,0,Retained,36.83333333333333,Medium Engagement
MB00292,24,Male,2025-05-14,70,Active,0,Retained,59.25,Medium Engagement
MB00293,41,Male,2023-01-28,907,High Risk,1,Churn,15.5,Low Engagement
MB00294,25,Female,2024-06-04,414,Low Risk,0,Retained,31.83333333333333,Low Engagement
MB00295,16,Female,2025-02-07,166,Active,0,Retained,13.666666666666666,Low Engagement
MB00296,30,Non-binary,2023-12-14,587,Medium Risk,1,Churn,56.16666666666668,Medium Engagement
MB00297,41,Female,2023-03-25,851,High Risk,1,Churn,50.083333333333336,Medium Engagement
MB00298,48,Male,2024-11-05,260,Active,0,Retained,47.583333333333336,Medium Engagement
MB00299,49,Non-binary,2023-08-29,694,Medium Risk,1,Churn,47.25,Medium Engagement
MB00300,39,Male,2025-03-24,121,Active,0,Retained,44.666666666666664,Medium Engagement
MB00301,23,Other (self-described),2025-04-28,86,Active,0,Retained,59.583333333333336,Medium Engagement
MB00302,24,Female,2023-12-05,596,Medium Risk,1,Churn,44.166666666666664,Medium Engagement
